iShares Russell 3000 ETF,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,
Fund Holdings as of,30-Dec-11,,,,,,,,,,
Total Net Assets,"3,209,335,331.04",,,,,,,,,,
Shares Outstanding,"43,250,000.00",,,,,,,,,,
Stock,99.75,,,,,,,,,,
Bond,0,,,,,,,,,,
Cash,0.11,,,,,,,,,,
Other,0.14,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
JCG,J CREW GROUP INC (ESCROW),Equity,0,0,"12,115.00",1.21,-,Consumer Discretionary,-,-,New York Stock Exchange Inc.
OSHWQ,ORCHARD SUPPLY HARDWARE STORES COR,Equity,0,3.76,394.69,"1,484.02",-,Consumer Discretionary,B7FNL98,US6856914048,Non-Nms Quotation Service (Nnqs)
OSHSQ,ORCHARD SUPPLY HARDWARE STORES PRE,Equity,0,3.76,394.69,"1,484.02",-,Consumer Discretionary,B7FNL10,US6856915037,Non-Nms Quotation Service (Nnqs)
DIAL,WESTWOOD ONE INC CLASS A,Equity,0,3.19,"1,137.00","3,627.03",-,Consumer Discretionary,B7F0H24,US25247X1072,Non-Nms Quotation Service (Nnqs)
DDMGQ,DIGITAL DOMAIN MEDIA GROUP INC,Equity,0,6.08,844,"5,131.52",-,Consumer Discretionary,B4W7C88,US25386U1043,Non-Nms Quotation Service (Nnqs)
SKY,SKYLINE CORP,Equity,0,4.35,"1,557.00","6,772.95",-,Consumer Discretionary,2814005,US8308301055,Nyse Mkt Llc
SCHSQ,SCHOOL SPECIALTY INC,Equity,0,2.5,"3,652.00","9,130.00",-,Consumer Discretionary,2249652,US8078631053,Non-Nms Quotation Service (Nnqs)
BONT,BON TON STORES INC,Equity,0,3.37,"2,800.00","9,436.00",-,Consumer Discretionary,2110532,US09776J1016,NASDAQ
CRWN,CROWN MEDIA HOLDINGS INC CLASS A,Equity,0,1.21,"7,923.00","9,586.83",-,Consumer Discretionary,2577580,US2284111042,NASDAQ
ABCD,CAMBIUM LEARNING GROUP INC,Equity,0,3.02,"3,783.00","11,424.66",-,Consumer Discretionary,B4XV3J7,US13201A1079,NASDAQ
MPX,MARINE PRODUCTS CORP,Equity,0,4.96,"2,327.00","11,541.92",-,Consumer Discretionary,2737102,US5684271084,New York Stock Exchange Inc.
FBN,FURNITURE BRANDS INTERNATIONAL INC,Equity,0,1.23,"9,528.00","11,719.44",-,Consumer Discretionary,2463504,US3609211004,New York Stock Exchange Inc.
FLWS,1-800 FLOWERS.COM INC CLASS A,Equity,0,2.2,"5,909.00","12,999.80",-,Consumer Discretionary,2444123,US68243Q1067,NASDAQ
RLOC,REACHLOCAL INC,Equity,0,6.18,"2,275.00","14,059.50",-,Consumer Discretionary,B4PYZD2,US75525F1049,NASDAQ
PRTS,US AUTO PARTS NETWORK INC,Equity,0,4.37,"3,361.00","14,687.57",-,Consumer Discretionary,B1RBR56,US90343C1009,NASDAQ
GMANQ,GORDMANS STORES INC,Equity,0,12.57,"1,205.00","15,146.85",-,Consumer Discretionary,B4XL944,US38269P1003,Non-Nms Quotation Service (Nnqs)
NAUH,NATIONAL AMERICAN UNIVERSITY HOLDI,Equity,0,7.58,"2,005.00","15,197.90",-,Consumer Discretionary,B29ZGG7,US63245Q1058,NASDAQ
TOWR,TOWER INTERNATIONAL INC,Equity,0,10.74,"1,512.00","16,238.88",-,Consumer Discretionary,B4L16D4,US8918261095,New York Stock Exchange Inc.
NWY,NEW YORK AND COMPANY INC,Equity,0,2.66,"6,175.00","16,425.50",-,Consumer Discretionary,B034L94,US6492951024,New York Stock Exchange Inc.
JOUT,JOHNSON OUTDOORS INC CLASS A,Equity,0,15.35,"1,091.00","16,746.85",-,Consumer Discretionary,2476847,US4791671088,NASDAQ
GKNT,GEEKNET INC.,Equity,0,17.05,992,"16,913.60",-,Consumer Discretionary,2528232,US36846Q2030,NASDAQ
KSWS,K-SWISS INC. CL A,Equity,0,2.92,"5,952.00","17,379.84",-,Consumer Discretionary,2479824,US4826861027,NASDAQ
VVTV,VALUEVISION MEDIA INC CLASS A,Equity,0,1.88,"9,303.00","17,489.64",-,Consumer Discretionary,2934378,US92047K1079,NASDAQ
EVC,ENTRAVISION COMMUNICATIONS CORP CL,Equity,0,1.56,"11,417.00","17,810.52",-,Consumer Discretionary,2615112,US29382R1077,New York Stock Exchange Inc.
OWW,ORBITZ WORLDWIDE INC.,Equity,0,3.76,"4,742.00","17,829.92",-,Consumer Discretionary,B23G859,US68557K1097,New York Stock Exchange Inc.
KCP,KENNETH COLE PRODUCTIONS INC. CL A,Equity,0,10.59,"1,715.00","18,161.85",-,Consumer Discretionary,2484077,US1932941057,New York Stock Exchange Inc.
EPAX,AMBASSADORS GROUP INC.,Equity,0,4.51,"4,030.00","18,175.30",-,Consumer Discretionary,2845845,US0231771082,NASDAQ
GTN,GRAY TELEVISION INC,Equity,0,1.62,"11,270.00","18,257.40",-,Consumer Discretionary,2390817,US3893751061,New York Stock Exchange Inc.
