iShares Russell 3000 ETF,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,
Fund Holdings as of,31-Dec-14,,,,,,,,,,
Total Net Assets,"6,328,468,027.10",,,,,,,,,,
Shares Outstanding,"51,750,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
-,FURIEX PHARMACEUTICALS INC CVR,Equity,0,10,"1,940.00","19,400.00","19,400.00",Health Care,99B56Q6,-,NASDAQ
 ,,,,,,,,,,,
A,AGILENT TECHNOLOGIES INC,Equity,0.06,40.94,"91,386.00","3,741,342.84","3,741,342.84",Health Care,2520153,US00846U1016,New York Stock Exchange Inc.
AA,ALCOA INC,Equity,0.08,15.79,"322,392.00","5,090,569.68","5,090,569.68",Materials,2021805,US0138171014,New York Stock Exchange Inc.
AAC,AAC HLDG INC,Equity,0,30.92,"1,565.00","48,389.80","48,389.80",Health Care,BQZJBY4,US0003071083,New York Stock Exchange Inc.
AAL,AMERICAN AIRLINES GROUP INC,Equity,0.17,53.63,"197,391.00","10,586,079.33","10,586,079.33",Industrials,BCV7KT2,US02376R1023,NASDAQ
AAMC,ALTISOURCE ASSET MANAGEMENT CORP,Equity,0,310.12,372,"115,364.64","115,364.64",Financials,B7GYFQ5,VI02153X1080,Nyse Mkt Llc
AAN,AARONS INC.,Equity,0.01,30.57,"17,692.00","540,844.44","540,844.44",Consumer Discretionary,2002918,US0025353006,New York Stock Exchange Inc.
AAOI,APPLIED OPTOELECTRONICS INC,Equity,0,11.22,"2,867.00","32,167.74","32,167.74",Information Technology,BDW0D09,US03823U1025,NASDAQ
AAON,AAON INC.,Equity,0,22.39,"11,315.00","253,342.85","253,342.85",Industrials,2268130,US0003602069,NASDAQ
AAP,ADVANCE AUTO PARTS INC,Equity,0.05,159.28,"19,888.00","3,167,760.64","3,167,760.64",Consumer Discretionary,2822019,US00751Y1064,New York Stock Exchange Inc.
AAPL,APPLE INC,Equity,2.91,110.38,"1,648,513.00","181,962,864.94","181,962,864.94",Information Technology,2046251,US0378331005,NASDAQ
AAT,AMERICAN ASSETS TRUST REIT INC,Equity,0.01,39.81,"8,223.00","327,357.63","327,357.63",Financials,B3NTLD4,US0240131047,New York Stock Exchange Inc.
AAVL,AVALANCHE BIOTECHNOLOGIES INC,Equity,0,54,"1,895.00","102,330.00","102,330.00",Health Care,BP9F5J4,US05337G1076,NASDAQ
AAWW,ATLAS AIR WORLDWIDE HOLDINGS,Equity,0.01,49.3,"7,251.00","357,474.30","357,474.30",Industrials,B01Z8P4,US0491642056,NASDAQ
ABAX,ABAXIS INC.,Equity,0.01,56.83,"5,967.00","339,104.61","339,104.61",Health Care,2011550,US0025671050,NASDAQ
ABBV,ABBVIE INC,Equity,0.46,65.44,"434,794.00","28,452,919.36","28,452,919.36",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
ABC,AMERISOURCEBERGEN CORP,Equity,0.09,90.16,"61,927.00","5,583,338.32","5,583,338.32",Health Care,2795393,US03073E1055,New York Stock Exchange Inc.
ABCB,AMERIS BANCORP,Equity,0,25.64,"6,770.00","173,582.80","173,582.80",Financials,2038849,US03076K1088,NASDAQ
ABCO,ADVISORY BOARD CO.,Equity,0.01,48.98,"9,477.00","464,183.46","464,183.46",Industrials,2794657,US00762W1071,NASDAQ
ABCW,ANCHOR BANCORP WISCONSIN INC,Equity,0,34.44,"1,795.00","61,819.80","61,819.80",Financials,BRJTGW0,US03283P1066,NASDAQ
ABG,ASBURY AUTOMOTIVE GROUP INC.,Equity,0.01,75.92,"8,472.00","643,194.24","643,194.24",Consumer Discretionary,2855855,US0434361046,New York Stock Exchange Inc.
ABM,ABM INDUSTRIES INC.,Equity,0.01,28.65,"14,636.00","419,321.40","419,321.40",Industrials,2024901,US0009571003,New York Stock Exchange Inc.
ABMD,ABIOMED INC.,Equity,0.01,38.06,"10,536.00","401,000.16","401,000.16",Health Care,2003698,US0036541003,NASDAQ
ABT,ABBOTT LABORATORIES,Equity,0.3,45.02,"410,727.00","18,490,929.54","18,490,929.54",Health Care,2002305,US0028241000,New York Stock Exchange Inc.
ABY,ABENGOA YIELD PLC,Equity,0,27.32,"7,836.00","214,079.52","214,079.52",Utilities,BLP5YB5,GB00BLP5YB54,NASDAQ
ACAD,ACADIA PHARMACEUTICALS INC,Equity,0.01,31.75,"22,750.00","722,312.50","722,312.50",Health Care,2713317,US0042251084,NASDAQ
ACAT,ARCTIC CAT INC.,Equity,0,35.5,"3,406.00","120,913.00","120,913.00",Consumer Discretionary,2047500,US0396701049,NASDAQ
ACC,AMERICAN CAMPUS COMMUNITIES INC.,Equity,0.02,41.36,"28,406.00","1,174,872.16","1,174,872.16",Financials,B02H871,US0248351001,New York Stock Exchange Inc.
