2015,2016,2017,2018
CYS,FFBC,FCFS,FBMS
CZNC,FFG,FCNCA,FBNC
DCOM,FFIC,FDEF,FBP
DCT,FFIN,FDS,FCB
DDR,FFKT,FFBC,FCBC
DEA,FFNW,FFG,FCBP
DEI,FFWM,FFIC,FCCO
DFS,FGL,FFIN,FCCY
DFT,FHB,FFKT,FCF
DGICA,FHN,FFNW,FCFS
DHIL,FIBK,FFWM,FCNCA
DLR,FII,FGBI,FDBC
DOC,FISI,FHB,FDEF
DRE,FITB,FHN,FDS
DRH,FLIC,FIBK,FFBC
DX,FMBH,FII,FFG
EBSB,FMBI,FISI,FFIC
EBTC,FMNB,FITB,FFIN
ECPG,FNB,FLIC,FFNW
EDR,FNBC,FMAO,FFWM
EFSC,FNF,FMBH,FG
EGBN,FNFV,FMBI,FGBI
EGP,FNGN,FMNB,FHB
EHTH,FNHC,FNB,FHN
EIG,FNLC,FNBG,FIBK
ELS,FNWB,FNF,FII
EMCI,FRBK,FNGN,FISI
ENH,FRC,FNHC,FITB
ENVA,FRME,FNLC,FLIC
EPR,FSAM,FNWB,FMAO
EQBK,FSB,FRBK,FMBH
EQC,FULT,FRC,FMBI
EQIX,GABC,FRME,FMNB
EQR,GBCI,FSB,FNB
EQY,GBL,FULT,FNF
ERIE,GBLI,GABC,FNHC
ESGR,GBNK,GBCI,FNLC
ESNT,GCAP,GBL,FNWB
ESRT,GCBC,GBLI,FOCS
ESS,GDOT,GBNK,FRBA
ETFC,GHL,GCAP,FRBK
EV,GLRE,GCBC,FRC
EVER,GNBC,GDOT,FRME
EVR,GNW,GHL,FSB
EWBC,GS,GLRE,FSBW
EXR,GSBC,GNBC,FSFG
EZPW,GWB,GNTY,FULT
FAF,HAFC,GNW,FUNC
FBC,HALL,GPMT,GABC
FBIZ,HASI,GS,GBCI
FBNC,HBAN,GSBC,GBL
FBNK,HBCP,GWB,GBLI
FBP,HBHC,HAFC,GBNK
FCB,HBNC,HALL,GCAP
FCBC,HCI,HASI,GCBC
FCE.A,HEOP,HBAN,GDOT
FCF,HFWA,HBCP,GHL
FCFS,HIFS,HBHC,GLRE
FCH,HIG,HBMD,GNBC
FCNCA,HLI,HBNC,GNTY
FCPT,HMN,HCI,GNW
FDEF,HMST,HFWA,GPMT
FDS,HNNA,HIFS,GS
FFBC,HOMB,HIG,GSBC
FFG,HONE,HIIQ,GSHD
FFIC,HOPE,HLI,GWB
FFIN,HRTG,HLNE,HAFC
FFKT,HTBI,HMN,HALL
FGL,HTBK,HMST,HBAN
FHN,HTH,HOMB,HBCP
FIBK,HTLF,HONE,HBMD
FII,IBCP,HOPE,HBNC
FISI,IBKC,HRTG,HCI
FITB,IBKR,HTBI,HFWA
FLIC,IBOC,HTBK,HIFS
FMBI,IBTX,HTH,HIG
FMER,ICBK,HTLF,HIIQ
FNB,ICE,IBCP,HLI
FNBC,IHC,IBKC,HLNE
FNF,IMH,IBKR,HMN
FNFG,INBK,IBOC,HMST
FNFV,INDB,IBTX,HOMB
FNGN,INTL,ICBK,HONE
FNHC,IPCC,ICE,HOPE
FNLC,ISBC,IHC,HRTG
FOR,ITG,IMH,HTBI
FPO,ITIC,INBK,HTBK
FR,IVR,INDB,HTH
FRC,IVZ,INTL,HTLF
FRME,JNS,IPCC,HWC
FRPH,JPM,ISBC,IBCP
FRT,JRVR,ISTR,IBKC
FSAM,KCG,ITG,IBKR
FSB,KEY,ITIC,IBOC
FSP,KMPR,IVR,IBTX
FULT,KNSL,IVZ,ICBK
FXCB,KRNY,JPM,ICE
GABC,L,JRVR,IHC
GBCI,LADR,KEY,IMH
GBL,LAZ,KINS,INBK
GBLI,LBAI,KMPR,INDB
GBNK,LC,KNSL,INTL
GCAP,LCNB,KREF,ISBC
GDOT,LION,KRNY,ISTR
GEO,LKFN,L,ITG
GGP,LM,LADR,ITIC
GHL,LNC,LAZ,IVR
GLPI,LOB,LBAI,IVZ
GLRE,LPLA,LC,JEF
GNBC,LSBG,LCNB,JPM
GNW,LTS,LION,JRVR
GOOD,LTXB,LKFN,KEY
GOV,LUK,LM,KINS
GPT,MBFI,LNC,KMPR
GS,MBI,LOB,KNSL
GSBC,MBRG,LPLA,KREF
GTY,MBTF,LTS,KRNY
GWB,MBVT,LTXB,L
HAFC,MBWM,LUK,LADR
HALL,MC,MBCN,LAZ
HASI,MCBC,MBFI,LBAI
HBAN,MCO,MBI,LBC
HBHC,MCY,MBIN,LC
HBNC,MDLY,MBTF,LCNB
HCI,MET,MBWM,LEVL
HCN,MFA,MC,LION
HCP,MFSF,MCB,LKFN
HEOP,MHLD,MCBC,LM
HF,MITT,MCO,LNC
HFWA,MKL,MCY,LOB
HHC,MKTX,MDLY,LPLA
HIFR,MMC,MET,LTS
HIFS,MN,MFA,LTXB
HIG,MOFG,MFSF,MBCN
HIW,MORN,MHLD,MBFI
HLI,MRLN,MITT,MBI
HMN,MS,MKL,MBIN
HMPR,MSBI,MKTX,MBTF
HMST,MSCI,MLVF,MBWM
HOMB,MSFG,MMC,MC
HPP,MTB,MOFG,MCB
HPT,MTG,MORN,MCBC
HR,MTGE,MRLN,MCO
HRTG,NAVG,MS,MCY
HST,NAVI,MSBI,MET
HT,NBHC,MSCI,MFA
HTA,NBTB,MSFG,MFSF
HTBI,NCBS,MSL,MHLD
HTBK,NCOM,MTB,MITT
HTH,NDAQ,MTG,MKL
HTLF,NEWS,MTGE,MKTX
HTS,NFBK,NAVG,MLVF
IBCP,NGHC,NAVI,MMC
IBKC,NKSH,NBHC,MOFG
IBKR,NLY,NBN,MORN
IBOC,NMIH,NBTB,MPB
IBTX,NNI,NCBS,MRLN
ICE,NRIM,NCOM,MS
IHC,NRZ,NDAQ,MSBI
IMH,NSAM,NFBK,MSCI
INDB,NSM,NGHC,MSL
INN,NTB,NKSH,MTB
INTL,NTRS,NLY,MTG
IPCC,NWBI,NMIH,MVBF
IRC,NWLI,NNI,NAVG
IRET,NYCB,NODK,NAVI
IRM,NYMT,NRIM,NBHC
IRT,OB,NRZ,NBN
ISBC,OCFC,NSM,NBTB
ITG,OCN,NTB,NCBS
IVR,OFG,NTRS,NCOM
IVZ,OKSB,NWBI,NDAQ
JGW,OLBK,NWFL,NFBK
JLL,OMAM,NWLI,NGHC
JNS,OMF,NYCB,NKSH
JOE,ONB,NYMT,NLY
JPM,ONDK,OCFC,NMIH
JRVR,OPB,OCN,NNI
KCG,OPY,OFED,NODK
KEY,ORC,OFG,NRIM
KIM,ORI,OLBK,NRZ
KMPR,ORIT,OMAM,NTB
KRC,ORM,OMF,NTRS
KRG,ORRF,ONB,NWBI
KRNY,OSBC,ONDK,NWFL
KW,OZRK,OPB,NWLI
L,PACW,OPOF,NYCB
LADR,PB,OPY,NYMT
LAMR,PBCT,ORC,OBNK
LAZ,PBNC,ORI,OCFC
LBAI,PCBK,ORIT,OCN
LC,PEBO,ORM,OFED
LHO,PFBC,ORRF,OFG
LION,PFBI,OSBC,OLBK
LKFN,PFG,OVBC,OMF
LM,PFIS,OZRK,ONB
LNC,PFS,PACW,ONDK
LOB,PFSI,PB,OPB
LPLA,PGC,PBCT,OPBK
LPT,PGR,PBIP,OPY
LTC,PHH,PBNC,ORC
LTS,PICO,PCSB,ORI
LTXB,PJC,PEBK,ORIT
LUK,PJT,PEBO,ORRF
LXP,PMBC,PFBC,OSBC
MAA,PMT,PFBI,OVBC
MAC,PN,PFG,OVLY
MBFI,PNC,PFIS,OZK
MBI,PNFP,PFS,PACW
MBVT,PPBI,PFSI,PB
MBWM,PRA,PGC,PBCT
MC,PRAA,PGR,PBIP
MCO,PRI,PHH,PCB
MCY,PRK,PJC,PCSB
MDLY,PROV,PJT,PDLB
MET,PRU,PKBK,PEBK
METR,PSTB,PMBC,PEBO
MFA,PUB,PMT,PFBC
MHFI,PVBC,PNC,PFBI
MHLD,PVTB,PNFP,PFG
MITT,PWOD,PPBI,PFIS
MKL,PZN,PRA,PFS
MKTX,QCRH,PRAA,PFSI
MMC,RBCAA,PRI,PGC
MMI,RDN,PRK,PGR
MNR,RE,PROV,PJC
MOFG,RESI,PRU,PJT
MORE,RF,PUB,PKBK
MORN,RGA,PVBC,PMBC
MPW,RILY,PWOD,PMT
MRLN,RJF,PZN,PNC
MS,RLI,QCRH,PNFP
MSCI,RM,RBB,PPBI
MSFG,RNR,RBCAA,PRA
MTB,RNST,RDN,PRAA
MTG,RSO,RE,PRI
MTGE,RWT,RF,PRK
