2015,2016,2017,2018
G,GPN,GTT,IMPV
GDDY,GRB,GWRE,INAP
GIMO,GRUB,HAWK,INFN
GLOB,GSOL,HCKT,INST
GLUU,GTT,HDP,INTC
GLW,GUID,HIVE,INTU
GOGO,GWRE,HLIT,IOTS
GOOG,HAWK,HPE,IPGP
GOOGL,HCKT,HPQ,IPHI
GPN,HDP,HRS,IT
GRB,HIVE,HUBS,ITI
GRUB,HLIT,IAC,ITRI
GSIG,HPE,IBM,JBL
GTT,HPQ,ICHR,JCOM
GUID,HRS,IDCC,JKHY
GWRE,HUBS,IDTI,JNPR
HAWK,IAC,III,KE
HCKT,IBM,IIVI,KEM
HDP,IDCC,IMMR,KEYS
HIVE,IDTI,IMPV,KLAC
HLIT,III,INAP,KN
HPE,IIVI,INFN,KODK
HPQ,IL,INST,KOPN
HPY,IMMR,INTC,KVHI
HRS,IMPV,INTU,LASR
HUBS,INFN,IPGP,LDOS
IACI,INST,IPHI,LFUS
IBM,INTC,IT,LITE
IDCC,INTU,ITI,LLNW
IDTI,INVN,ITRI,LOGM
IIVI,IPGP,IVAC,LPSN
IL,IPHI,IXYS,LRCX
IM,ISIL,JBL,LSCC
IMMR,IT,JCOM,MA
IMN,ITRI,JKHY,MANH
IMPV,IXYS,JNPR,MANT
INAP,JBL,KE,MB
INFN,JCOM,KEM,MCHP
ININ,JIVE,KEYS,MEI
INST,JKHY,KLAC,MGI
INTC,JNPR,KN,MITK
INTU,KE,KODK,MJCO
INVN,KEYS,KOPN,MKSI
IPGP,KLAC,KVHI,MLAB
IPHI,KN,LDOS,MMS
ISIL,KODK,LFGR,MOBL
IT,KOPN,LFUS,MODN
ITRI,KVHI,LITE,MPWR
IXYS,LDOS,LLNW,MRVL
JBL,LFUS,LOGM,MSFT
JCOM,LIOX,LPSN,MSI
JIVE,LITE,LQDT,MSTR
JKHY,LLNW,LRCX,MTSC
JNPR,LLTC,LSCC,MTSI
KE,LOGM,MA,MU
KEYS,LPSN,MANH,MXIM
KING,LQDT,MANT,MXL
KLAC,LRCX,MB,MXWL
KN,LSCC,MCHP,NANO
KODK,MA,MEET,NATI
KOPN,MANH,MEI,NCR
KVHI,MANT,MGI,NEWR
LDOS,MB,MITK,NOVT
LFUS,MCHP,MJCO,NOW
LIOX,MCHX,MKSI,NPTN
LITE,MEET,MLAB,NSIT
LLNW,MEI,MMS,NSSC
LLTC,MENT,MOBL,NTAP
LNKD,MGI,MODN,NTCT
LOGM,MITK,MPWR,NTGR
LPSN,MJCO,MRVL,NTNX
LQDT,MKSI,MSCC,NUAN
LRCX,MLAB,MSFT,NVDA
LSCC,MMS,MSI,NVEC
LXFT,MOBL,MSTR,NXPI
LXK,MODN,MTCH,OKTA
MA,MPWR,MTSC,OLED
MANH,MRVL,MTSI,ON
MANT,MSCC,MU,ORCL
MCHP,MSFT,MULE,OSIS
MCHX,MSI,MVIS,OSPN
MEI,MSTR,MXIM,PANW
MENT,MTCH,MXL,PAR
MESG,MTSC,MXWL,PAYC
MFLX,MTSI,NANO,PAYX
MGI,MU,NATI,PCTY
MIFI,MXIM,NCR,PCYG
MKSI,MXL,NEWR,PDFS
MKTO,MXWL,NOVT,PEGA
MLAB,NAME,NOW,PFPT
MLNK,NANO,NPTN,PFSW
MMS,NATI,NSIT,PI
MOBL,NCIT,NSSC,PKE
MODN,NCR,NTAP,PLAB
MPWR,NEWR,NTCT,PLAN
MRCY,NMBL,NTGR,PLT
MRIN,NMRX,NTNX,PLUS
MRVL,NOVT,NUAN,PLXS
MSCC,NOW,NVDA,POWI
MSFT,NPTN,NVEC,PRFT
MSI,NSIT,NXPI,PRGS
MSTR,NSR,OCLR,PRGX
MTCH,NTAP,OKTA,PRO
MTSC,NTCT,OLED,PRSP
MTSI,NTGR,OMNT,PS
MTSN,NTNX,ON,PSDO
MU,NUAN,ORCL,PSTG
MWW,NVDA,OSIS,PTC
MXIM,NVEC,P,PYPL
MXL,OCLR,PANW,QADA
MXPT,OLED,PAY,QCOM
N,ON,PAYC,QLYS
NANO,ORCL,PAYX,QRVO
NATI,OSIS,PCMI,QTNA
NCR,P,PCTY,QTWO
NEWP,PANW,PCYG,RAMP
NEWR,PAY,PDFS,RBBN
NMBL,PAYC,PEGA,RHT
NOW,PAYX,PFPT,RMBS
NPTN,PCTY,PI,RMNI
NSIT,PCYG,PKE,RNG
NSR,PDFS,PLAB,ROG
NTAP,PEGA,PLT,RP
NTCT,PFPT,PLUS,RPD
NTGR,PFSW,PLXS,RTEC
NUAN,PI,PMTS,SABR
NVDA,PKE,POWI,SAIC
NVEC,PLAB,PRFT,SAIL
OCLR,PLPM,PRGS,SANM
OLED,PLT,PRO,SATS
ON,PLUS,PSDO,SCSC
OPWR,PLXS,PSTG,SCWX
ORCL,PMTS,PTC,SEND
OSIS,POWI,PXLW,SGH
OVTI,PRFT,PYPL,SLAB
P,PRGS,QADA,SMTC
PANW,PRO,QCOM,SNPS
PAY,PSTG,QLYS,SNX
PAYC,PTC,QNST,SPLK
PAYX,PYPL,QRVO,SPSC
PCCC,QADA,QTM,SPWR
PCTY,QCOM,QTNA,SQ
PCYG,QLYS,QTWO,SREV
PDFS,QNST,QUOT,SSNC
PEGA,QRVO,RBBN,SSTI
PFPT,QTNA,REIS,SSYS
PFSW,QTWO,RHT,SVMK
PKE,QUOT,RMBS,SWCH
PLAB,RATE,RNG,SWI
PLCM,REIS,RNWK,SWKS
PLT,RHT,ROG,SYKE
PLUS,RMBS,RP,SYMC
PLXS,RNG,RPD,SYNA
PMCS,RNWK,RST,TCX
PMTS,ROG,RSYS,TDC
POWI,RP,RTEC,TEAM
PRFT,RPD,RUBI,TECD
PRGS,RST,SABR,TENB
PRO,RSYS,SAIC,TER
PSTG,RTEC,SANM,TIVO
PTC,RUBI,SATS,TLRA
PYPL,SABR,SCSC,TNAV
QADA,SAIC,SCWX,TRMB
QCOM,SALE,SEND,TSS
QLGC,SANM,SGH,TTD
QLIK,SATS,SIGM,TTEC
QLYS,SCOR,SLAB,TTMI
QNST,SCSC,SMCI,TVPT
QRVO,SCWX,SMTC,TWLO
QTM,SHOR,SNCR,TWOU
QTWO,SIGM,SNPS,TXN
QUOT,SILC,SNX,TYL
RATE,SLAB,SPLK,TYPE
RAX,SMCI,SPSC,UBNT
REIS,SMTC,SPWR,UCTT
RHT,SNCR,SQ,UIS
RKUS,SNPS,SREV,ULTI
RLD,SNX,SRT,UPLD
RMBS,SONS,SSNC,USAT
RNG,SPLK,SSNI,V
RNWK,SPNS,SSTK,VECO
ROG,SPSC,SSYS,VERI
ROVI,SPWR,STMP,VHC
RP,SQ,SWCH,VIAV
RPD,SREV,SWKS,VMW
RSTI,SSNC,SYKE,VPG
RTEC,SSNI,SYMC,VRNS
RUBI,SSTK,SYNA,VRNT
SABR,SSYS,SYNT,VRSN
SAIC,STMP,SYX,VRTU
SALE,SWKS,TCX,VSAT
SANM,SYKE,TDC,VSH
SATS,SYMC,TEAM,VSM
SCOR,SYNA,TECD,WDAY
SCSC,SYNT,TER,WDC
SEAC,SYX,TIVO,WEX
SGI,TDC,TNAV,WK
SHOR,TEAM,TNTR,WP
SIGM,TECD,TRMB,WU
SIXD,TER,TRUE,XELA
SLAB,TIVO,TSS,XLNX
SLH,TNAV,TTD,XPER
SMCI,TNGO,TTEC,XRX
SMTC,TRMB,TTGT,YEXT
SNCR,TRUE,TTMI,ZBRA
SNDK,TSRA,TTWO,ZEN
SNPS,TSS,TVPT,ZIXI
SNX,TTD,TWLO,ZS
SONS,TTEC,TWOU,
SPLK,TTGT,TWTR,
SPNS,TTMI,TXN,
SPSC,TTWO,TYL,
SPWR,TVPT,TYPE,
SQ,TWLO,UBNT,
SQI,TWOU,UCTT,
SREV,TWTR,UIS,
