iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 30, 2016"
Total Net Assets,"6,205,665,452.24"
Shares Outstanding,"48,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","2.73","113.05","1,497,684.00","169,313,176.20","169,313,176.20","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","1.92","57.60","2,069,741.00","119,217,081.60","119,217,081.60","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.60","87.28","1,138,961.00","99,408,516.08","99,408,516.08","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","1.43","837.31","106,284.00","88,992,656.04","88,992,656.04","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.43","118.13","750,878.00","88,701,218.14","88,701,218.14","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","1.27","128.27","613,202.00","78,655,420.54","78,655,420.54","Information Technology","B7TL820","US30303M1027","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.20","144.47","516,779.00","74,659,062.13","74,659,062.13","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.20","29.62","2,514,903.00","74,491,426.86","74,491,426.86","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.10","40.61","1,683,653.00","68,373,148.33","68,373,148.33","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.07","66.59","994,823.00","66,245,263.57","66,245,263.57","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.04","89.75","721,227.00","64,730,123.25","64,730,123.25","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.04","804.06","80,230.00","64,509,733.80","64,509,733.80","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
