iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 30, 2009"
Total Net Assets,"2,958,212,252.20"
Shares Outstanding,"47,700,000.00"
Stock,"99.76"
Bond,"0.00"
Cash,"0.13"
Other,"0.11"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"XOM","EXXON MOBIL CORP","Equity","2.94","68.61","1,265,814.00","86,847,498.54","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.75","25.89","1,999,290.00","51,761,618.10","-","Technology","2588173","US5949181045","NASDAQ"
"GEC","GENERAL ELECTRIC","Equity","1.52","16.42","2,747,024.00","45,106,134.08","-","Producer Durables","5254471","US3696041033","Deutsche Boerse Xetra"
"PG","PROCTER & GAMBLE","Equity","1.48","57.92","756,096.00","43,793,080.34","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.47","60.89","714,819.00","43,525,328.91","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"AAPL*","APPLE INC","Equity","1.45","185.37","231,419.00","42,898,140.03","-","Technology","B011001","US0378331005","Bolsa Mexicana De Valores"
"JPM","JPMORGAN CHASE","Equity","1.44","43.82","975,159.00","42,731,467.38","-","Financial Services","0190031","US46625H1005","London Stock Exchange"
"T","AT&T INC","Equity","1.40","27.01","1,530,515.00","41,339,210.16","-","Utilities","2831811","US00206R1023","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.39","119.61","342,784.00","41,000,394.24","-","Technology","2005973","US4592001014","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.28","16.92","2,244,273.00","37,973,099.13","-","Financial Services","BHZL9B0","US0605051046","SIX Swiss Exchange"
"CVX","CHEVRON CORP","Equity","1.24","70.43","520,033.00","36,625,924.19","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.19","23.54","1,496,253.00","35,221,795.62","-","Technology","2198163","US17275R1023","NASDAQ"
"WFC*","WELLS FARGO CO","Equity","1.18","28.18","1,233,777.00","34,767,835.91","-","Financial Services","B045BZ2","US9497461015","Bolsa Mexicana De Valores"
"KO","COCA-COLA","Equity","1.09","53.70","600,541.00","32,249,051.70","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","1.04","495.85","62,126.00","30,805,177.10","-","Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"HPQ","HEWLETT PACKARD","Equity","0.99","47.21","620,370.00","29,287,667.70","-","Technology","2424006","US4282361033","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.98","16.55","1,750,514.00","28,971,006.70","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"INCO","INTEL CORPORATION CORP","Equity","0.96","19.57","1,448,822.00","28,353,446.54","-","Technology","5923652","US4581401001","Euronext Amsterdam"
"WMT","WALMART STORES INC","Equity","0.95","49.09","573,505.00","28,153,360.45","-","Consumer Discretionary","2961280","US9311421039","Bolsa De Valores De Lima"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.84","48.74","508,867.00","24,802,177.58","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.81","184.35","130,595.00","24,075,188.25","-","Financial Services","2407966","US38141G1040","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.80","58.66","403,859.00","23,690,368.94","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.75","30.27","736,898.00","22,305,902.46","-","Utilities","2090571","US92343V1044","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.70","20.84","991,570.00","20,664,318.80","-","Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.67","49.47","400,927.00","19,833,858.69","-","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"QCI","QUALCOMM INC","Equity","0.65","44.98","429,348.00","19,312,073.04","-","Technology","5382468","US7475251036","Deutsche Boerse Xetra"
"SLBA","SCHLUMBERGER LTD.","Equity","0.63","59.60","310,375.00","18,498,350.00","-","Energy","4779232","AN8068571086","Euronext Amsterdam"
"COP","CONOCOPHILLIPS","Equity","0.59","45.16","384,347.00","17,357,110.51","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.58","31.63","546,959.00","17,300,313.17","-","Health Care","2578312","US5893311077","New York Stock Exchange Inc."
"WYE","WYETH","Equity","0.57","48.58","345,955.00","16,806,493.90","-","Health Care","2027104","US9830241009","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.56","78.40","210,286.00","16,486,422.40","-","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.55","57.07","286,208.00","16,333,890.56","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.53","60.23","262,636.00","15,818,566.28","-","Health Care","2023607","US0311621009","NASDAQ"
"0R01","CITIGROUP INC","Equity","0.48","4.84","2,943,544.00","14,246,752.97","-","Financial Services","B0ZC1L8","US1729671016","London Stock Exchange"
"CVS","CVS HEALTH CORP","Equity","0.46","35.74","377,698.00","13,498,926.49","-","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"MMM","3M","Equity","0.45","73.80","180,143.00","13,294,553.40","-","Producer Durables","2595708","US88579Y1010","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.45","27.46","481,695.00","13,227,344.70","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.45","60.93","217,023.00","13,223,211.39","-","Producer Durables","2915500","US9130171096","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.43","16.89","745,790.00","12,596,393.20","-","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
