Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
PRGO,PERRIGO PLC,Equity,0.09,153.46,33094,5078605.24,-,Health Care,BGH1M56,IE00BGH1M568,New York Stock Exchange Inc.,2013
AAL,AMERICAN AIRLINES GROUP INC,Equity,0.02,25.25,53261,1344840.25,-,Industrials,BCV7KT2,US02376R1023,NASDAQ,2013
BNFT,BENEFITFOCUS INC,Equity,0,57.74,1327,76620.98,-,Information Technology,BDFN1P6,US08180D1063,NASDAQ,2013
BRX,BRIXMOR PROPERTY GROUP REIT INC,Equity,0,20.33,12442,252945.86,-,Financials,BFTDJL8,US11120U1051,New York Stock Exchange Inc.,2013
BURL,BURLINGTON STORES INC,Equity,0,32,4017,128544,-,Consumer Discretionary,BF311Y5,US1220171060,New York Stock Exchange Inc.,2013
COMM,COMMSCOPE HOLDING INC,Equity,0,18.92,10923,206663.16,-,Information Technology,BFRBX34,US20337X1090,NASDAQ,2013
EIGI,ENDURANCE INTERNATIONAL GROUP HOLD,Equity,0,14.18,5711,80981.98,-,Information Technology,BFRBX78,US29272B1052,NASDAQ,2013
ESNT,ESSENT GROUP LTD,Equity,0,24.06,5940,142916.4,-,Financials,BFWGXR8,BMG3198U1027,New York Stock Exchange Inc.,2013
ESRT,EMPIRE STATE REALTY REIT INC TRUST,Equity,0.01,15.3,21593,330372.9,-,Financials,BF321D7,US2921041065,New York Stock Exchange Inc.,2013
FEYE,FIREEYE INC,Equity,0,43.61,4579,199690.19,-,Information Technology,BD4R405,US31816Q1013,NASDAQ,2013
FUEL,ROCKET FUEL INC,Equity,0,61.49,1286,79076.14,-,Information Technology,BD4R416,US7731111099,NASDAQ,2013
HMHC,HOUGHTON MIFFLIN HARCOURT,Equity,0,16.96,5508,93415.68,-,Consumer Discretionary,BGCBBK9,US44157R1095,NASDAQ,2013
LEAF,SPRINGLEAF HOLDINGS INC,Equity,0,25.28,6344,160376.32,-,Financials,BFMXX79,US85172J1016,New York Stock Exchange Inc.,2013
MYCC,CLUBCORP HOLDINGS INC,Equity,0,17.74,5433,96381.42,-,Consumer Discretionary,BD4R3X1,US18948M1080,New York Stock Exchange Inc.,2013
OPHT,OPHTHOTECH CORP,Equity,0,32.35,2316,74922.6,-,Health Care,BCRWZD0,US6837451037,NASDAQ,2013
PBPB,POTBELLY CORP,Equity,0,24.28,2257,54799.96,-,Consumer Discretionary,BF49P79,US73754Y1001,NASDAQ,2013
PEGI,PATTERN ENERGY GROUP INC CLASS A,Equity,0,30.31,4824,146215.44,-,Utilities,BD4R4G1,US70338P1003,NASDAQ,2013
PINC,PREMIER INC CLASS A,Equity,0.01,36.76,8491,312129.16,-,Health Care,BDZDRC5,US74051N1028,NASDAQ,2013
QTS,QTS REALTY REIT INC TRUST CLASS A,Equity,0,24.78,3696,91586.88,-,Financials,BDSV8H8,US74736A1034,New York Stock Exchange Inc.,2013
RMAX,RE MAX HOLDINGS INC CLASS A,Equity,0,32.07,3041,97524.87,-,Financials,BF23JJ3,US75524W1080,New York Stock Exchange Inc.,2013
SBCF,SEACOAST BANKING OF FLORIDA,Equity,0,12.2,3726,45457.2,-,Financials,BH65L93,US8117078019,NASDAQ,2013
SCAI,SURGICAL CARE AFFILIATES INC,Equity,0,34.84,2947,102673.48,-,Health Care,BFTDJM9,US86881L1061,NASDAQ,2013
SFXEQ,SFX ENTERTAINMENT INC,Equity,0,12,5236,62832,-,Consumer Discretionary,BDSTWS1,US7841783035,Non-Nms Quotation Service (Nnqs),2013
TCS,CONTAINER STORE GROUP INC,Equity,0,46.61,3770,175719.7,-,Consumer Discretionary,BFWGXQ7,US2107511030,New York Stock Exchange Inc.,2013
TETAA,TETON ADVISORS INC CLASS A,Equity,0,38.25,1,38.25,-,Financials,B40GKT4,US88165Y2000,Non-Nms Quotation Service (Nnqs),2013
TNDM,TANDEM DIABETES CARE INC,Equity,0,25.77,2404,61951.08,-,Health Care,BGCC6K7,US8753721047,NASDAQ,2013
VEEV,VEEVA SYSTEMS INC CLASS A,Equity,0,32.1,3932,126217.2,-,Health Care,BFH3N85,US9224751084,New York Stock Exchange Inc.,2013
VNCE,VINCE HOLDING CORP,Equity,0,30.67,3013,92408.71,-,Consumer Discretionary,BGHQJF0,US92719W1080,New York Stock Exchange Inc.,2013
WIX,WIX.COM LTD,Equity,0,26.85,2175,58398.75,-,Information Technology,BFZCHN7,IL0011301780,NASDAQ,2013
XCO RT,EXCO RESOURCES RIGHTS EXPIRING JAN,Equity,0,0.16,39950,6392,-,Energy,BH6Y3X8,US2692791393,New York Stock Exchange Inc.,2013
ZU,ZULILY INC CLASS A,Equity,0,41.43,3474,143927.82,-,Consumer Discretionary,BGCC674,US9897741040,NASDAQ,2013
AMZN,AMAZON COM INC,Equity,0.71,398.79,96125,38333688.75,-,Consumer Discretionary,2000019,US0231351067,NASDAQ,2013
DIS,WALT DISNEY,Equity,0.66,76.4,470881,35975308.4,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.,2013
CMCSA,COMCAST A CORP,Equity,0.66,51.97,686085,35652407.03,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ,2013
WMT,WALMART STORES INC,Equity,0.61,78.69,421070,33133998.3,-,Consumer Discretionary,2961280,US9311421039,Bolsa De Valores De Lima,2013
HD,HOME DEPOT INC,Equity,0.58,82.34,381980,31452233.2,-,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.,2013
MCD,MCDONALDS CORP,Equity,0.47,97.03,262153,25436705.59,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.,2013
EBAY,EBAY INC,Equity,0.34,54.89,339460,18632959.4,-,Consumer Discretionary,2293819,US2786421030,NASDAQ,2013
