Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
CMPR,CIMPRESS NV,Equity,0.01,46,9438,434148,-,-,B48HGT1,NL0009272269,NASDAQ,2010
BH,BIGLARI HOLDINGS INC,Equity,0,410.21,325,133318.25,-,Consumer Discretionary,2843430,US08986R1014,New York Stock Exchange Inc.,2010
WINA,WINMARK CORP,Equity,0,33.64,542,18232.88,-,Consumer Discretionary,2391092,US9742501029,NASDAQ,2010
LCUT,LIFETIME BRANDS INC,Equity,0,14.04,639,8971.56,-,Consumer Discretionary,2515773,US53222Q1031,NASDAQ,2010
BAGL,EINSTEIN NOAH RESTAURANT GROUP INC,Equity,0,14.05,998,14021.9,-,Consumer Discretionary,2042486,US28257U1043,NASDAQ,2010
JOUT,JOHNSON OUTDOORS INC CLASS A,Equity,0,12.52,999,12507.48,-,Consumer Discretionary,2476847,US4791671088,NASDAQ,2010
BBGI,BEASLEY BROADCAST GROUP INC CLASS,Equity,0,5.99,1004,6013.96,-,Consumer Discretionary,2544960,US0740141017,NASDAQ,2010
NPK,NATIONAL PRESTO INDUSTRIES INC,Equity,0,130.01,1066,138590.66,-,Consumer Discretionary,2626802,US6372151042,New York Stock Exchange Inc.,2010
BOOT,LACROSSE FOOTWEAR INC.,Equity,0,16.4,1077,17662.8,-,Consumer Discretionary,2499888,US5056881015,NASDAQ,2010
RLOC,REACHLOCAL INC,Equity,0,19.91,1102,21940.82,-,Consumer Discretionary,B4PYZD2,US75525F1049,NASDAQ,2010
DIAL,WESTWOOD ONE INC.,Equity,0,9.13,1208,11029.04,-,Consumer Discretionary,2957331,US9618153053,NASDAQ,2010
GMANQ,GORDMANS STORES INC,Equity,0,16.76,1208,20246.08,-,Consumer Discretionary,B4XL944,US38269P1003,Non-Nms Quotation Service (Nnqs),2010
CPICQ,CPI CORP,Equity,0,22.55,1209,27262.95,-,Consumer Discretionary,2160430,US1259021061,Non-Nms Quotation Service (Nnqs),2010
RST,ROSETTA STONE INC,Equity,0,21.22,1283,27225.26,-,Consumer Discretionary,B3VVMW8,US7777801074,New York Stock Exchange Inc.,2010
TZOO,TRAVELZOO INC.,Equity,0,41.22,1283,52885.26,-,Consumer Discretionary,2971892,US89421Q1067,NASDAQ,2010
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.02,439.5,1283,563878.5,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.,2010
