Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
VTGDF,VANTAGE DRILLING,Equity,0,1.61,19728,31762.08,-,-,B39YS98,KYG932051132,Non-Nms Quotation Service (Nnqs),2009
CPA,COPA HOLDINGS A SA,Equity,0.01,54.47,7155,389732.85,-,Industrials,B0TNJH9,PAP310761054,New York Stock Exchange Inc.,2009
UTIW,UTI WORLDWIDE INC,Equity,0.01,14.32,24774,354763.68,-,Industrials,2676368,VGG872101032,NASDAQ,2009
FRO,FRONTLINE LTD.,Equity,0.01,27.32,12288,335708.16,-,Industrials,2302630,BMG3682E1277,New York Stock Exchange Inc.,2009
NAT,NORDIC AMERICAN TANKERS LTD,Equity,0.01,30,10319,309570,-,Industrials,2113876,BMG657731060,New York Stock Exchange Inc.,2009
TK,TEEKAY CORP,Equity,0.01,23.21,10414,241708.94,-,Industrials,2933795,MHY8564W1030,New York Stock Exchange Inc.,2009
SFL,SHIP FINANCE INTERNATIONAL LTD,Equity,0,13.63,10678,145541.14,-,Industrials,B019MJ8,BMG810751062,New York Stock Exchange Inc.,2009
GNKOQ,GENCO SHIPPING AND TRADING LTD,Equity,0,22.38,5903,132109.14,-,Industrials,B0DPJS2,MHY2685T1073,Non-Nms Quotation Service (Nnqs),2009
GLNG,GOLAR LNG LTD,Equity,0,12.82,8078,103559.96,-,Industrials,2367963,BMG9456A1009,NASDAQ,2009
GMRRQ,General Maritime Corp.,Equity,0,6.99,11554,80762.42,-,Industrials,B3KH711,MHY2693R1018,Non-Nms Quotation Service (Nnqs),2009
EGLE,EAGLE BULK SHIPPING INC.,Equity,0,4.95,15213,75304.35,-,Industrials,B0BSL21,MHY2187A1010,NASDAQ,2009
VLCCF,KNIGHTSBRIDGE SHIPPING LTD,Equity,0,13.26,4122,54657.72,-,Industrials,2509271,BMG5299G1069,NASDAQ,2009
DHT,DHT HOLDINGS INC.,Equity,0,3.68,10975,40388,-,Industrials,B0M5TM7,MHY2065G1052,New York Stock Exchange Inc.,2009
TNK,TEEKAY TANKERS LTD CLASS A,Equity,0,8.53,3297,28123.41,-,Industrials,B29VHY0,MHY8565N1022,New York Stock Exchange Inc.,2009
TGH,TEXTAINER GROUP HOLDINGS LTD,Equity,0,16.9,1661,28070.9,-,Industrials,B054DS5,BMG8766E1093,New York Stock Exchange Inc.,2009
ULTRF,ULTRAPETROL LTD,Equity,0,4.76,5738,27312.88,-,Industrials,B1G1605,BSP943981071,Non-Nms Quotation Service (Nnqs),2009
TBSI,TBS INTERNATIONAL PLC (CL A),Equity,0,7.35,2543,18691.05,-,Industrials,B0BV2Z0,BMG869751518,NASDAQ,2009
WMT,WALMART STORES INC,Equity,0.98,53.45,538832,28800570.4,-,Consumer Discretionary,2961280,US9311421039,Bolsa De Valores De Lima,2009
MCD,MCDONALDS CORP,Equity,0.57,62.44,268902,16790240.88,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.,2009
DIS,WALT DISNEY,Equity,0.5,32.25,452597,14596253.25,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.,2009
HD,HOME DEPOT INC,Equity,0.41,28.93,413486,11962149.98,-,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.,2009
CMCSA,COMCAST A CORP,Equity,0.4,16.86,700763,11814864.17,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ,2009
AMZN,AMAZON COM INC,Equity,0.37,134.52,80119,10777607.88,-,Consumer Discretionary,2000019,US0231351067,NASDAQ,2009
TGT,TARGET CORP,Equity,0.3,48.37,183337,8868010.69,-,Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.,2009
TWX*,TIME WARNER INC,Equity,0.29,29.14,291681,8499584.28,-,Consumer Discretionary,B3QHV68,US8873173038,Bolsa Mexicana De Valores,2009
LOW,LOWES COMPANIES INC,Equity,0.29,23.39,359339,8404939.21,-,Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.,2009
DTV,DIRECTV,Equity,0.27,33.35,238423,7951407,-,Consumer Discretionary,B42SH20,US25490A1016,NASDAQ,2009
F,F MOTOR,Equity,0.26,10,761818,7618180,-,Consumer Discretionary,4232490,US3453708600,SIX Swiss Exchange,2009
NCRA,NEWS CORP. CL A,Equity,0.26,13.69,555057,7598730.33,-,Consumer Discretionary,B03DQ41,US65248E1047,NASDAQ,2009
EBAY,EBAY INC,Equity,0.22,23.54,272592,6416815.68,-,Consumer Discretionary,2293819,US2786421030,NASDAQ,2009
COST,COSTCO WHOLESALE CORP,Equity,0.21,59.17,105817,6261191.89,-,Consumer Discretionary,2701271,US22160K1051,NASDAQ,2009
NKE,NIKE INC CLASS B,Equity,0.2,66.07,88023,5815679.61,-,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.,2009
JCI,JOHNSON CONTROLS INC,Equity,0.15,27.24,163451,4452405.24,-,Consumer Discretionary,2476803,US4783661071,New York Stock Exchange Inc.,2009
SPLS,STAPLES INC,Equity,0.15,24.59,174322,4286577.98,-,Consumer Discretionary,2841489,US8550301027,NASDAQ,2009
SBUX,STARBUCKS CORP,Equity,0.14,23.06,179451,4138140.06,-,Consumer Discretionary,2842255,US8552441094,NASDAQ,2009
KSS,KOHLS CORP,Equity,0.14,53.93,74541,4019996.13,-,Consumer Discretionary,2496113,US5002551043,New York Stock Exchange Inc.,2009
YUM,YUM BRANDS INC,Equity,0.13,34.97,112500,3934125,-,Consumer Discretionary,2098876,US9884981013,New York Stock Exchange Inc.,2009
VIAB,VIACOM INC CLASS B,Equity,0.13,29.73,132256,3931970.91,-,Consumer Discretionary,B0SRLF4,US92553P2011,NASDAQ,2009
TJX,TJX INC,Equity,0.13,36.55,100731,3681718.05,-,Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.,2009
T3W1,TIME WARNER CABLE-A,Equity,0.12,41.39,86164,3566327.98,-,Consumer Discretionary,B650CM2,US88732J2078,Boerse Berlin,2009
CCL,CARNIVAL CORP,Equity,0.12,31.69,106860,3386393.4,-,Consumer Discretionary,2523044,PA1436583006,New York Stock Exchange Inc.,2009
