Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
FSYS,FUEL SYSTEMS SOLUTIONS INC.,Equity,0,16.49,3772,62200.28,-,Consumer Discretionary,B1CNCG3,US35952W1036,NASDAQ,2011
UTI,UNIVERSAL TECHNICAL INSTITUTE INC,Equity,0,12.78,4871,62251.38,-,Consumer Discretionary,2002543,US9139151040,New York Stock Exchange Inc.,2011
CVCO,CAVCO INDUSTRIES INC,Equity,0,40.06,1554,62253.24,-,Consumer Discretionary,2787022,US1495681074,NASDAQ,2011
ACAT,ARCTIC CAT INC.,Equity,0,22.55,2764,62328.2,-,Consumer Discretionary,2047500,US0396701049,NASDAQ,2011
STMP,STAMPS.COM INC,Equity,0,26.13,2413,63051.69,-,Consumer Discretionary,B013D75,US8528572006,NASDAQ,2011
HOTT,HOT TOPIC INC.,Equity,0,6.61,9714,64209.54,-,Consumer Discretionary,2436744,US4413391081,NASDAQ,2011
FDML,FEDERAL MOGUL HOLDINGS CORP,Equity,0,14.75,4446,65578.5,-,Consumer Discretionary,B29N9B7,US3135494041,NASDAQ,2011
BTH,BLYTH INC.,Equity,0,56.8,1172,66569.6,-,Consumer Discretionary,2103985,US09643P2074,New York Stock Exchange Inc.,2011
BODY,BODY CENTRAL CORP,Equity,0,24.96,2669,66618.24,-,Consumer Discretionary,B3R9KG6,US09689U1025,Non-Nms Quotation Service (Nnqs),2011
WTSLQ,WET SEAL INC CLASS A,Equity,0,3.26,20619,67217.94,-,Consumer Discretionary,2957739,US9618401056,Non-Nms Quotation Service (Nnqs),2011
MOV,MOVADO GROUP INC,Equity,0,18.17,3941,71607.97,-,Consumer Discretionary,2643168,US6245801062,New York Stock Exchange Inc.,2011
THRM,GENTHERM INCORPORATED,Equity,0,14.26,5057,72112.82,-,Consumer Discretionary,2381758,US03070L3006,NASDAQ,2011
BEBE,BEBE STORES,Equity,0,8.33,8727,72695.91,-,Consumer Discretionary,2257677,US0755711092,NASDAQ,2011
RUE,RUE21 INC,Equity,0,21.6,3405,73548,-,Consumer Discretionary,B574HF3,US7812951009,NASDAQ,2011
RLD,REALD INC.,Equity,0,7.94,9315,73961.1,-,Consumer Discretionary,B434YB5,US75604L1052,New York Stock Exchange Inc.,2011
DGIT,DIGITAL GENERATION INC,Equity,0,11.92,6224,74190.08,-,Consumer Discretionary,B6SRZX2,US25400B1089,NASDAQ,2011
BBRG,BRAVO BRIO RESTAURANT GROUP INC,Equity,0,17.15,4375,75031.25,-,Consumer Discretionary,B4PXJW6,US10567B1098,NASDAQ,2011
CRMT,AMERICAS CAR-MART INC,Equity,0,39.18,1949,76361.82,-,Consumer Discretionary,2813961,US03062T1051,NASDAQ,2011
HSTM,HEALTHSTREAM INC,Equity,0,18.45,4157,76696.65,-,Consumer Discretionary,2577870,US42222N1037,NASDAQ,2011
SPF,CALATLANTIC GROUP INC,Equity,0,3.18,24138,76758.84,-,Consumer Discretionary,2853042,US85375C1018,New York Stock Exchange Inc.,2011
MDCA,MDC PARTNERS INC CLASS A,Equity,0,13.52,5706,77145.12,-,Consumer Discretionary,2574495,CA5526971042,NASDAQ,2011
NTRI,NUTRISYSTEM INC,Equity,0,12.93,6122,79157.46,-,Consumer Discretionary,2620398,US67069D1081,NASDAQ,2011
CENTA,CENTRAL GARDEN AND PET CLASS A,Equity,0,8.32,9632,80138.24,-,Consumer Discretionary,B1P36Y6,US1535272058,NASDAQ,2011
VVI,VIAD CORP,Equity,0,17.48,4621,80775.08,-,Consumer Discretionary,B01KGF5,US92552R4065,New York Stock Exchange Inc.,2011
ELY,CALLAWAY GOLF,Equity,0,5.53,14637,80942.61,-,Consumer Discretionary,2173933,US1311931042,New York Stock Exchange Inc.,2011
RRGB,RED ROBIN GOURMET BURGERS INC,Equity,0,27.7,2939,81410.3,-,Consumer Discretionary,2966144,US75689M1018,NASDAQ,2011
AFCE,AFC ENTERPRISES INC.,Equity,0,14.7,5636,82849.2,-,Consumer Discretionary,2713328,US00104Q1076,NASDAQ,2011
DENN,DENNYS CORP,Equity,0,3.76,22475,84506,-,Consumer Discretionary,2250580,US24869P1049,NASDAQ,2011
BWS,CALERES INC,Equity,0,8.9,9546,84959.4,-,Consumer Discretionary,2146924,US1157361007,New York Stock Exchange Inc.,2011
LGF,LIONS GATE ENTERTAINMENT CORP,Equity,0,8.32,10245,85238.4,-,Consumer Discretionary,2753506,CA5359192039,New York Stock Exchange Inc.,2011
KKD,KRISPY KREME DOUGHNUTS INC.,Equity,0,6.54,13279,86844.66,-,Consumer Discretionary,2576811,US5010141043,New York Stock Exchange Inc.,2011
JAKK,JAKKS PACIFIC INC,Equity,0,14.11,6178,87171.58,-,Consumer Discretionary,2478854,US47012E1064,NASDAQ,2011
SUP,SUPERIOR INDS INC,Equity,0,16.54,5315,87910.1,-,Consumer Discretionary,2864141,US8681681057,New York Stock Exchange Inc.,2011
KAR,KAR AUCTION SERVICES INC,Equity,0,13.5,6556,88506,-,Consumer Discretionary,B4Y1MH7,US48238T1097,New York Stock Exchange Inc.,2011
OMX,OFFICEMAX INC.,Equity,0,4.54,19543,88725.22,-,Consumer Discretionary,2109002,US67622P1012,New York Stock Exchange Inc.,2011
SMP,STANDARD MOTOR PRODUCTS INC,Equity,0,20.05,4466,89543.3,-,Consumer Discretionary,2838306,US8536661056,New York Stock Exchange Inc.,2011
RAB,DORMAN PRODUCTS INC,Equity,0,36.93,2461,90884.73,-,Consumer Discretionary,5769931,US2582781009,Deutsche Boerse Xetra,2011
HHS,HARTE HANKS INC,Equity,0,9.09,10065,91490.85,-,Consumer Discretionary,2410812,US4161961036,New York Stock Exchange Inc.,2011
LL,LUMBER LIQUIDATORS HOLDINGS INC,Equity,0,17.66,5254,92785.64,-,Consumer Discretionary,B5KKQN9,US55003T1079,New York Stock Exchange Inc.,2011
BYD,BOYD GAMING CORP,Equity,0,7.46,12438,92787.48,-,Consumer Discretionary,2117232,US1033041013,New York Stock Exchange Inc.,2011
