Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
PATR,PATRIOT TRANSPORTATION HOLDING INC,Equity,0,70.07,305.00,21371.35,-,Industrials,2343479,US70337B1026,NASDAQ,2008
ULH,UNIVERSAL LOGISTICS INC,Equity,0,14.16,1520.00,21523.20,-,Industrials,B066PX9,US91388P1057,NASDAQ,2008
ISHCQ,INTERNATIONAL SHIPHOLDING CORP,Equity,0,25.33,2138.00,54155.54,-,Industrials,2465492,US4603212014,Non-Nms Quotation Service (Nnqs),2008
TGH,TEXTAINER GROUP HOLDINGS LTD,Equity,0,10.60,2287.00,24242.20,-,Industrials,B054DS5,BMG8766E1093,New York Stock Exchange Inc.,2008
CAI,CAI INTERNATIONAL INC,Equity,0,3.17,2394.00,7588.98,-,Industrials,B1VZ4J7,US12477X1063,New York Stock Exchange Inc.,2008
ARII,AMERICAN RAILCAR INDUSTRIES INC,Equity,0,10.53,2728.00,28725.84,-,Industrials,B0WR837,US02916P1030,NASDAQ,2008
DDMX,DYNAMEX INC.,Equity,0,14.75,3438.00,50710.50,-,Industrials,2271213,US26784F1030,NASDAQ,2008
TBSI,TBS INTERNATIONAL PLC (CL A),Equity,0,10.03,3482.00,34924.46,-,Industrials,B0BV2Z0,BMG869751518,NASDAQ,2008
SHS,SAUER INC,Equity,0,8.75,3508.00,30695.00,-,Industrials,2245070,US8041371076,New York Stock Exchange Inc.,2008
RAB,DORMAN PRODUCTS INC,Equity,0,13.20,3579.00,47242.80,-,Industrials,5769931,US2582781009,Deutsche Boerse Xetra,2008
MPX,MARINE PRODUCTS CORP,Equity,0,5.62,3675.00,20653.50,-,Industrials,2737102,US5684271084,New York Stock Exchange Inc.,2008
RAIL,FREIGHTCAR AMERICA INC,Equity,0,18.27,3750.00,68512.50,-,Industrials,B06T0P5,US3570231007,NASDAQ,2008
FSYS,FUEL SYSTEMS SOLUTIONS INC.,Equity,0,32.76,3800.00,124488.00,-,Industrials,B1CNCG3,US35952W1036,NASDAQ,2008
ALGT,ALLEGIANT TRAVEL,Equity,0.01,48.57,4433.00,215310.81,-,Industrials,B15M2C3,US01748X1028,NASDAQ,2008
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,Equity,0,18.90,4513.00,85295.70,-,Industrials,B01Z8P4,US0491642056,NASDAQ,2008
PHIIK,PETROLEUM HELICOPTERS NON VOTING I,Equity,0,14.01,4529.00,63451.29,-,Industrials,2684413,US69336T2050,NASDAQ,2008
SRI,STONERIDGE INC,Equity,0,4.56,4595.00,20953.20,-,Industrials,2111977,US86183P1021,New York Stock Exchange Inc.,2008
SAIA,SAIA INC,Equity,0,10.86,4607.00,50032.02,-,Industrials,2982399,US78709Y1055,NASDAQ,2008
WATG,WONDER AUTO TECHNOLOGY INC.,Equity,0,3.92,4785.00,18757.20,-,Industrials,B0YX3F0,US9781661064,Non-Nms Quotation Service (Nnqs),2008
MRTN,MARTEN TRANSPORT LTD,Equity,0,18.96,4801.00,91026.96,-,Industrials,2568357,US5730751089,NASDAQ,2008
GBX,GREENBRIER INC,Equity,0,6.87,4934.00,33896.58,-,Industrials,2387530,US3936571013,New York Stock Exchange Inc.,2008
VLCCF,KNIGHTSBRIDGE SHIPPING LTD,Equity,0,14.65,5687.00,83314.55,-,Industrials,2509271,BMG5299G1069,NASDAQ,2008
CVGI,COMMERCIAL VEHICLE GROUP INC,Equity,0,0.93,6355.00,5910.15,-,Industrials,B02GMS7,US2026081057,NASDAQ,2008
THRM,GENTHERM INCORPORATED,Equity,0,3.26,6954.00,22670.04,-,Industrials,2381758,US03070L3006,NASDAQ,2008
ATAC,ATC TECHNOLOGY CORP.,Equity,0,14.63,6997.00,102366.11,-,Industrials,2010825,US00211W1045,NASDAQ,2008
OSGIQ,OVERSEAS SHIPHOLDING GROUP INC,Equity,0.01,42.11,7095.00,298770.45,-,Industrials,2664749,US6903681053,Non-Nms Quotation Service (Nnqs),2008
ABFS,ARKANSAS BEST CORP.,Equity,0.01,30.11,7130.00,214684.30,-,Industrials,2048075,US0407901075,NASDAQ,2008
SUP,SUPERIOR INDS INC,Equity,0,10.52,7183.00,75565.16,-,Industrials,2864141,US8681681057,New York Stock Exchange Inc.,2008
FDML,FEDERAL MOGUL HOLDINGS CORP,Equity,0,4.23,7311.00,30925.53,-,Industrials,B29N9B7,US3135494041,NASDAQ,2008
CGI,CELADON GROUP INC,Equity,0,8.53,7312.00,62371.36,-,Industrials,2184195,US1508381001,New York Stock Exchange Inc.,2008
GLF,GULFMARK OFFSHORE INC.,Equity,0.01,23.79,7424.00,176616.96,-,Industrials,2396031,US4026291090,New York Stock Exchange Inc.,2008
ULTRF,ULTRAPETROL LTD,Equity,0,3.19,7616.00,24295.04,-,Industrials,B1G1605,BSP943981071,Non-Nms Quotation Service (Nnqs),2008
GNKOQ,GENCO SHIPPING AND TRADING LTD,Equity,0,14.80,8094.00,119791.20,-,Industrials,B0DPJS2,MHY2685T1073,Non-Nms Quotation Service (Nnqs),2008
BRS,BRISTOW GROUP INC,Equity,0.01,26.79,8098.00,216945.42,-,Industrials,2656229,US1103941035,New York Stock Exchange Inc.,2008
ODFL,OLD DOMINION FREIGHT LINE INC,Equity,0.01,28.46,9434.00,268491.64,-,Industrials,2656423,US6795801009,NASDAQ,2008
FWRD,FORWARD AIR CORP,Equity,0.01,24.27,9526.00,231196.02,-,Industrials,2510790,US3498531017,NASDAQ,2008
WNC,WABASH NATIONAL CORP,Equity,0,4.50,9594.00,43173.00,-,Industrials,2932048,US9295661071,New York Stock Exchange Inc.,2008
CPA,COPA HOLDINGS A SA,Equity,0.01,30.32,9662.00,292951.84,-,Industrials,B0TNJH9,PAP310761054,New York Stock Exchange Inc.,2008
GWR,GENESEE & WYOMING INC CLASS A,Equity,0.01,30.50,9783.00,298381.50,-,Industrials,2374060,US3715591059,New York Stock Exchange Inc.,2008
WGO,WINNEBAGO INDUSTRIES INC,Equity,0,6.03,9796.00,59069.88,-,Industrials,2972721,US9746371007,New York Stock Exchange Inc.,2008
SPAR,SPARTAN MOTORS INC,Equity,0,4.73,9908.00,46864.84,-,Industrials,2832535,US8468191007,NASDAQ,2008
MOD,MODINE MANUFACTURING,Equity,0,4.87,9951.00,48461.37,-,Industrials,2598354,US6078281002,New York Stock Exchange Inc.,2008
PII,POLARIS INDUSTRIES INC,Equity,0.01,28.65,10551.00,302286.15,-,Industrials,2692933,US7310681025,New York Stock Exchange Inc.,2008
HRZL,HORIZON LINES INC.,Equity,0,3.49,10660.00,37203.40,-,Industrials,-,US44044K1016,Non-Nms Quotation Service (Nnqs),2008
RJETQ,REPUBLIC AIRWAYS INC,Equity,0,10.67,10709.00,114265.03,-,Industrials,2858348,US7602761055,Non-Nms Quotation Service (Nnqs),2008
TWI,TITAN INTERNATIONAL INC,Equity,0,8.25,10790.00,89017.66,-,Industrials,2890265,US88830M1027,New York Stock Exchange Inc.,2008
GLNG,GOLAR LNG LTD,Equity,0,6.76,10895.00,73650.20,-,Industrials,2367963,BMG9456A1009,NASDAQ,2008
NAT,NORDIC AMERICAN TANKERS LTD,Equity,0.01,33.75,10930.00,368887.50,-,Industrials,2113876,BMG657731060,New York Stock Exchange Inc.,2008
THO,THOR INDUSTRIES INC,Equity,0,13.18,11034.00,145428.12,-,Industrials,2889876,US8851601018,New York Stock Exchange Inc.,2008
PACR,PACER INTERNATIONAL INC,Equity,0,10.43,11188.00,116690.84,-,Industrials,2711991,US69373H1068,NASDAQ,2008
HUBG,HUB GROUP INC CLASS A,Equity,0.01,26.53,11989.00,318068.17,-,Industrials,2407632,US4433201062,NASDAQ,2008
AIR,AAR CORP.,Equity,0.01,18.41,12224.00,225043.84,-,Industrials,2001119,US0003611052,New York Stock Exchange Inc.,2008
ALK,ALASKA AIR GROUP INC,Equity,0.01,29.25,12258.00,358546.50,-,Industrials,2012605,US0116591092,New York Stock Exchange Inc.,2008
ACLI,AMERICAN COMMERCIAL LINES INC.,Equity,0,4.90,12278.00,60162.20,-,Industrials,B064919,US0251952075,NASDAQ,2008
OMEX,ODYSSEY MARINE EXPLORATION INC,Equity,0,3.22,13026.00,41943.72,-,Industrials,2517359,US6761181022,NASDAQ,2008
HA,HAWAIIAN HOLDINGS INC,Equity,0,6.38,13027.00,83112.26,-,Industrials,2408044,US4198791018,NASDAQ,2008
ALEX,ALEXANDER & BALDWIN INC.,Equity,0.01,25.06,13562.00,339863.72,-,Industrials,2013987,US0144821032,New York Stock Exchange Inc.,2008
TK,TEEKAY CORP,Equity,0.01,19.65,14170.00,278440.50,-,Industrials,2933795,MHY8564W1030,New York Stock Exchange Inc.,2008
AXL,AMERICAN AXLE AND MANUFACTURING HO,Equity,0,2.89,14193.00,41017.77,-,Industrials,2382416,US0240611030,New York Stock Exchange Inc.,2008
SFL,SHIP FINANCE INTERNATIONAL LTD,Equity,0.01,11.05,14434.00,159495.70,-,Industrials,B019MJ8,BMG810751062,New York Stock Exchange Inc.,2008
WERN,WERNER ENTERPRISES INC,Equity,0.01,17.34,14527.00,251898.18,-,Industrials,2948852,US9507551086,NASDAQ,2008
CNW,CON-WAY INC.,Equity,0.01,26.60,14586.00,387987.60,-,Industrials,2217228,US2059441012,New York Stock Exchange Inc.,2008
EGLE,EAGLE BULK SHIPPING INC.,Equity,0,6.82,14645.00,99878.90,-,Industrials,B0BSL21,MHY2187A1010,NASDAQ,2008
DHT,DHT HOLDINGS INC.,Equity,0,5.54,14731.00,81609.74,-,Industrials,B0M5TM7,MHY2065G1052,New York Stock Exchange Inc.,2008
TEN,TENNECO INC,Equity,0,2.95,15389.00,45397.55,-,Industrials,2512600,US8803491054,New York Stock Exchange Inc.,2008
TRW,TRW AUTOMOTIVE HOLDINGS CORP,Equity,0,3.60,15472.00,55699.20,-,Industrials,2340801,US87264S1069,New York Stock Exchange Inc.,2008
FRO,FRONTLINE LTD.,Equity,0.01,29.61,15589.00,461590.29,-,Industrials,2302630,BMG3682E1277,New York Stock Exchange Inc.,2008
GMRRQ,General Maritime Corp.,Equity,0.01,10.80,15622.00,168717.65,-,Industrials,B3KH711,MHY2693R1018,Non-Nms Quotation Service (Nnqs),2008
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Equity,0.02,39.75,15690.00,623677.50,-,Industrials,2955733,US9297401088,New York Stock Exchange Inc.,2008
TDW,TIDEWATER INC,Equity,0.02,40.27,16938.00,682093.26,-,Industrials,2891859,US8864231027,New York Stock Exchange Inc.,2008
LSTR,LANDSTAR SYSTEM INC,Equity,0.02,38.43,16984.00,652695.12,-,Industrials,2503994,US5150981018,NASDAQ,2008
KEX,KIRBY CORP,Equity,0.02,27.36,17982.00,491987.52,-,Industrials,2493534,US4972661064,New York Stock Exchange Inc.,2008
KNX,KNIGHT TRANSPORTATION INC,Equity,0.01,16.12,17983.00,289885.96,-,Industrials,2487690,US4990641031,New York Stock Exchange Inc.,2008
YRCW,YRC WORLDWIDE INC.,Equity,0,2.87,18039.00,51771.93,-,Industrials,2986380,-,NASDAQ,2008
HTLD,HEARTLAND EXPRESS INC,Equity,0.01,15.76,18127.00,285681.50,-,Industrials,2414018,US4223471040,NASDAQ,2008
SKYW,SKYWEST INC,Equity,0.01,18.60,18913.00,351781.80,-,Industrials,2814210,US8308791024,NASDAQ,2008
CTB,COOPER TIRE AND RUBBER,Equity,0,6.16,19306.00,118924.96,-,Industrials,2222608,US2168311072,New York Stock Exchange Inc.,2008
FLTWQ,FLEETWOOD ENTR,Equity,0,0.10,20233.00,2023.30,-,Industrials,2342807,US3390991038,Non-Nms Quotation Service (Nnqs),2008
