Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.27,1.00,23775916.00,23775915.86,"23,775,915.86",Cash and/or Derivatives,-,US0669224778,-,2018
MSFUT,CASH COLLATERAL MSFUT USD,Cash Collateral and Margins,0.02,100.00,1770459.00,1770459.03,"1,770,459.03",Cash and/or Derivatives,-,-,-,2018
RTYH9,RUSSELL 2000 EMINI CME MAR 19,Futures,0,1349.00,31.00,0.00,"2,090,950.00",Cash and/or Derivatives,-,-,Chicago Mercantile Exchange,2018
ESH9,S&P500 EMINI MAR 19,Futures,0,2505.20,119.00,0.00,"14,905,940.00",Cash and/or Derivatives,-,-,Index And Options Market,2018
USD,USD CASH,Cash,-0.07,100.00,-6322448.00,-6322447.62,"-6,322,447.62",Cash and/or Derivatives,-,-,-,2018
GOOG,ALPHABET INC CLASS C,Equity,1.25,1035.61,105973.00,109746698.53,"109,746,698.53",Communication Services,BYY88Y7,US02079K1079,NASDAQ,2018
GOOGL,ALPHABET INC CLASS A,Equity,1.24,1044.96,103972.00,108646581.12,"108,646,581.12",Communication Services,BYVY8G0,US02079K3059,NASDAQ,2018
FB,FACEBOOK CLASS A INC,Equity,1.24,131.09,827603.00,108490477.27,"108,490,477.27",Communication Services,B7TL820,US30303M1027,NASDAQ,2018
VZ,VERIZON COMMUNICATIONS INC,Equity,0.92,56.22,1439693.00,80939540.46,"80,939,540.46",Communication Services,2090571,US92343V1044,New York Stock Exchange Inc.,2018
T,AT&T INC,Equity,0.82,28.54,2529810.00,72200777.40,"72,200,777.40",Communication Services,2831811,US00206R1023,New York Stock Exchange Inc.,2018
DIS,WALT DISNEY,Equity,0.65,109.65,518874.00,56894534.10,"56,894,534.10",Communication Services,2270726,US2546871060,New York Stock Exchange Inc.,2018
