Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
WMT,WALMART STORES INC,Equity,0.73,68.23,392389,26772701.47,-,Consumer Discretionary,2961280,US9311421039,Bolsa De Valores De Lima,2012
CMCSA,COMCAST A CORP,Equity,0.64,37.38,623598,23310093.24,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ,2012
HD,HOME DEPOT INC,Equity,0.6,61.85,355490,21987056.5,-,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.,2012
AMZN,AMAZON COM INC,Equity,0.58,251.14,84021,21101033.94,-,Consumer Discretionary,2000019,US0231351067,NASDAQ,2012
MCD,MCDONALDS CORP,Equity,0.57,88.21,236039,20821000.19,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.,2012
DIS,WALT DISNEY,Equity,0.56,49.79,414151,20620578.29,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.,2012
EBAY,EBAY INC,Equity,0.37,51.02,268325,13689941.5,-,Consumer Discretionary,2293819,US2786421030,NASDAQ,2012
NCRA,NEWS CORP. CL A,Equity,0.34,25.54,485236,12392927.44,-,Consumer Discretionary,B03DQ41,US65248E1047,NASDAQ,2012
F,F MOTOR,Equity,0.31,12.95,868921,11252526.95,-,Consumer Discretionary,4232490,US3453708600,SIX Swiss Exchange,2012
TWX*,TIME WARNER INC,Equity,0.29,47.83,222344,10634713.52,-,Consumer Discretionary,B3QHV68,US8873173038,Bolsa Mexicana De Valores,2012
COST,COSTCO WHOLESALE CORP,Equity,0.27,98.77,100347,9911273.19,-,Consumer Discretionary,2701271,US22160K1051,NASDAQ,2012
SBUX,STARBUCKS CORP,Equity,0.26,53.62,175676,9419747.12,-,Consumer Discretionary,2842255,US8552441094,NASDAQ,2012
LOW,LOWES COMPANIES INC,Equity,0.25,35.52,260376,9248555.52,-,Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.,2012
TGT,TARGET CORP,Equity,0.25,59.17,153141,9061352.97,-,Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.,2012
NKE,NIKE INC CLASS B,Equity,0.24,51.6,168084,8673134.4,-,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.,2012
TJX,TJX INC,Equity,0.2,42.45,171542,7281957.9,-,Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.,2012
PCLN,THE PRICELINE GROUP INC,Equity,0.2,621.2,11530,7162436,-,Consumer Discretionary,2779063,US7415034039,NASDAQ,2012
YUM,YUM BRANDS INC,Equity,0.19,66.4,106614,7079169.6,-,Consumer Discretionary,2098876,US9884981013,New York Stock Exchange Inc.,2012
T3W1,TIME WARNER CABLE-A,Equity,0.19,97.19,72307,7027517.33,-,Consumer Discretionary,B650CM2,US88732J2078,Boerse Berlin,2012
DTV,DIRECTV,Equity,0.19,50.16,139825,7013622,-,Consumer Discretionary,B84LSN3,US25490A3095,NASDAQ,2012
VIAB,VIACOM INC CLASS B,Equity,0.18,52.74,122094,6439237.56,-,Consumer Discretionary,B0SRLF4,US92553P2011,NASDAQ,2012
CBS,CBS CORP CLASS B,Equity,0.16,38.05,149754,5698139.7,-,Consumer Discretionary,B0SRLH6,US1248572026,New York Stock Exchange Inc.,2012
GM,GENERAL MOTORS,Equity,0.14,28.83,178187,5137131.21,-,Consumer Discretionary,B665KZ5,US37045V1008,New York Stock Exchange Inc.,2012
JCI,JOHNSON CONTROLS INC,Equity,0.13,30.7,156976,4819163.2,-,Consumer Discretionary,2476803,US4783661071,New York Stock Exchange Inc.,2012
LVS,LAS VEGAS SANDS CORP,Equity,0.12,46.16,91654,4230748.64,-,Consumer Discretionary,B02T2J7,US5178341070,New York Stock Exchange Inc.,2012
LBTYA,LIBERTY GLOBAL PLC CLASS A,Equity,0.11,62.99,61081,3847492.19,-,Consumer Discretionary,B018V87,US5305551013,NASDAQ,2012
M,MACYS INC,Equity,0.1,39.02,96591,3768980.82,-,Consumer Discretionary,2345022,US55616P1049,New York Stock Exchange Inc.,2012
COH,COACH INC,Equity,0.1,55.51,66954,3716616.54,-,Consumer Discretionary,2646015,US1897541041,New York Stock Exchange Inc.,2012
MHFI,S&P GLOBAL INC,Equity,0.1,54.67,65164,3562515.88,-,Consumer Discretionary,2551443,1188001,New York Stock Exchange Inc.,2012
CCL,CARNIVAL CORP,Equity,0.1,36.77,96812,3559777.24,-,Consumer Discretionary,2523044,PA1436583006,New York Stock Exchange Inc.,2012
DISCA,DISCOVERY COMMUNICATIONS INC SERIE,Equity,0.1,63.48,55201,3504159.48,-,Consumer Discretionary,B3D7K31,US25470F1049,NASDAQ,2012
EL,ESTEE LAUDER INC CLASS A,Equity,0.09,59.86,53680,3213284.8,-,Consumer Discretionary,2320524,US5184391044,New York Stock Exchange Inc.,2012
OMC,OMNICOM GROUP INC,Equity,0.09,49.96,63543,3174608.28,-,Consumer Discretionary,2279303,US6819191064,New York Stock Exchange Inc.,2012
AZO,AUTOZONE INC,Equity,0.09,354.43,8867,3142730.81,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.,2012
VFC,VF CORP,Equity,0.08,150.97,20410,3081297.7,-,Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.,2012
BBBY,BED BATH AND BEYOND INC,Equity,0.08,55.91,54167,3028476.97,-,Consumer Discretionary,2085878,US0758961009,NASDAQ,2012
LMCA,LIBERTY MEDIA CORP CLASS A,Equity,0.08,116.01,25305,2935633.05,-,Consumer Discretionary,B60Z8N5,US5303221064,NASDAQ,2012
DLPH,DELPHI AUTOMOTIVE PLC,Equity,0.08,38.25,76539,2927616.75,-,Consumer Discretionary,B783TY6,JE00B783TY65,New York Stock Exchange Inc.,2012
MAT,MATTEL INC,Equity,0.08,36.62,79421,2908397.02,-,Consumer Discretionary,2572303,US5770811025,NASDAQ,2012
ROST,ROSS STORES INC,Equity,0.08,54.15,52771,2857549.65,-,Consumer Discretionary,2746711,US7782961038,NASDAQ,2012
LTD,LIMITED BRANDS INC.,Equity,0.07,47.06,56239,2646607.34,-,Consumer Discretionary,2516185,US5327161072,New York Stock Exchange Inc.,2012
HOT,STARWOOD HOTELS & RESORTS WORLDWID,Equity,0.07,57.36,46098,2644181.28,-,Consumer Discretionary,B12GHV2,US85590A4013,New York Stock Exchange Inc.,2012
HOG,HARLEY DAVIDSON INC,Equity,0.07,48.84,54005,2637604.2,-,Consumer Discretionary,2411053,US4128221086,New York Stock Exchange Inc.,2012
QVCA,LIBERTY INTERACTIVE QVC GROUP CORP,Equity,0.07,19.68,130337,2565032.16,-,Consumer Discretionary,B144703,US53071M1045,NASDAQ,2012
SIRI,SIRIUS XM RADIO INC.,Equity,0.07,2.89,886785,2562808.65,-,Consumer Discretionary,2159698,US82967N1081,NASDAQ,2012
